X,Y,ID,SERIE,SITIO,AZIMUTE,SCN,VIAPRINC,BAIRRO,SITIO1,SERIE1,STATUS,FINALIDADE,ENDERECO,BENEFICIAD,DESCRTIPOL,DATAATIVAC,DATADESATI,FISCALIZAC,TOTALFXS,TEMDISPLAY,TEMCONTAGE,INFVELOCID,INFAVANCO,INFPARADAF,INFCONVERS,INFRETORNO,INFFXEXCLU,INFCIRCCAM,INFCAPACET,INFCINTOSE,KML_NAME,DESCRIO,DESCRIO2,MULTIPLE_F
-38.558061,-3.821095,101,130228.1150,01385099,285,00350:f,AV BERNARDO MANUEL,PREFEITO JOS VALTER,01385099,130228.1150,Inativo,Fiscalizao,Av. Pres. Costa e Silva x Av. Bernardo Manuel  [L-O],Indefinido,Cruzamento,20130404.000000,20140719.000000,Misto,4,N,S,S,S,S,S,N,N,N,N,N,01385099 - 130228.1150,<b>01385099 - 130228.1150</b><br><b>Inativo</b><br><b>Finalidade: </b>Fiscalizao<hr><b> Data de Ativao: </b>04/04/2013<br><b>Local:</b> Av. Pres. Costa e Silva x Av. Bernardo Manuel  - Indefinido<br>Cruzamento<br>,"<b>Tipo: </b>Misto<br><b> Faixas monitoradas: </b> 4<br><b> Infraes: </b>Velocidade; Parada; Avano; Converso;",01385099|130228.1150
-38.554752,-3.822215,97,FSMTD0181,FS075,110,00350:f,AV PRESIDENTE COSTA E SILVA,PREFEITO JOS VALTER,FS075,FSMTD0181,Ativo,Fiscalizao,"Av. Pres. Costa e Silva, 2913 - Oposto  [O-L]",Indefinido,Meio de quadra,20130313.000000,,Metrolgico,3,N,S,S,N,N,N,N,N,N,N,N,FS075 - FSMTD0181,"<b>FS075 - FSMTD0181</b><br><b>Ativo</b><br><b>Finalidade: </b>Fiscalizao<hr><b> Data de Ativao: </b>13/03/2013<br><b>Local:</b> Av. Pres. Costa e Silva, 2913 - Oposto  - Indefinido<br>Meio de quadra<br>","<b>Tipo: </b>Metrolgico<br><b> Faixas monitoradas: </b> 3<br><b> Infraes: </b>Velocidade;",FS075|FSMTD0181
-38.554216,-3.822269,96,FSMTD0179,FS071,285,00350:f,AV PRESIDENTE COSTA E SILVA,PARQUE DOIS IRMOS,FS071,FSMTD0179,Ativo,Fiscalizao,"Av. Pres. Costa e Silva, 2915  [L-O]",Indefinido,Meio de quadra,20130314.000000,,Metrolgico,3,N,S,S,N,N,N,N,N,N,N,N,FS071 - FSMTD0179,"<b>FS071 - FSMTD0179</b><br><b>Ativo</b><br><b>Finalidade: </b>Fiscalizao<hr><b> Data de Ativao: </b>14/03/2013<br><b>Local:</b> Av. Pres. Costa e Silva, 2915  - Indefinido<br>Meio de quadra<br>","<b>Tipo: </b>Metrolgico<br><b> Faixas monitoradas: </b> 3<br><b> Infraes: </b>Velocidade;",FS071|FSMTD0179
-38.566949,-3.816849,331,N.E.,FS117,290,00350:f,AV PRESIDENTE COSTA E SILVA,MONDUBIM,FS117,N.E.,Aprovado,Fiscalizao,"Av. Presidente Costa e Silva, 1680 - Oposto  [L-O]",Indefinido,Meio de quadra,,,Metrolgico,3,N,S,S,N,N,N,N,N,N,N,N,FS117 - N.E.,"<b>FS117 - N.E.</b><br><b>Aprovado</b><br><b>Finalidade: </b>Fiscalizao<hr><b> Data de Ativao: </b>N.I.<br><b>Local:</b> Av. Presidente Costa e Silva, 1680 - Oposto  - Indefinido<br>Meio de quadra<br>","<b>Tipo: </b>Metrolgico<br><b> Faixas monitoradas: </b> 3<br><b> Infraes: </b>Velocidade;",FS117|N.E.
-38.567339,-3.804796,31,FSMTD0281,FS016,105,00492:b,AV BENJAMIN BRASIL,MONDUBIM,FS016,FSMTD0281,Ativo,Fiscalizao,"Av. Benjamim Brasil, 619 - Oposto  [O-L]",Farmcia/Salo Testemunhas de Jeov,Meio de quadra,20130220.000000,,Metrolgico,2,N,S,S,N,N,N,N,N,N,N,N,FS016 - FSMTD0281,"<b>FS016 - FSMTD0281</b><br><b>Ativo</b><br><b>Finalidade: </b>Fiscalizao<hr><b> Data de Ativao: </b>20/02/2013<br><b>Local:</b> Av. Benjamim Brasil, 619 - Oposto  - Farmcia/Salo Testemunhas de Jeov<br>Meio de quadra<br>","<b>Tipo: </b>Metrolgico<br><b> Faixas monitoradas: </b> 2<br><b> Infraes: </b>Velocidade;",FS016|FSMTD0281
-38.56722,-3.80471,30,FSMTD0279,FS017,280,00492:b,AV BENJAMIN BRASIL,JARDIM CEARENSE,FS017,FSMTD0279,Ativo,Fiscalizao,"Av. Benjamim Brasil, 651  [L-O]",Indefinido,Meio de quadra,20130220.000000,,Metrolgico,2,N,S,S,N,N,N,N,N,N,N,N,FS017 - FSMTD0279,"<b>FS017 - FSMTD0279</b><br><b>Ativo</b><br><b>Finalidade: </b>Fiscalizao<hr><b> Data de Ativao: </b>20/02/2013<br><b>Local:</b> Av. Benjamim Brasil, 651  - Indefinido<br>Meio de quadra<br>","<b>Tipo: </b>Metrolgico<br><b> Faixas monitoradas: </b> 2<br><b> Infraes: </b>Velocidade;",FS017|FSMTD0279
-38.556227,-3.814697,98,FSMTD0182,FS091,20,00350:f,AV BERNARDO MANUEL,PARQUE DOIS IRMOS,FS091,FSMTD0182,Ativo,Fiscalizao,"Av. Bernardo Manuel, 10935  [S-N]",Indefinido,Meio de quadra,20130314.000000,,Metrolgico,3,N,S,S,N,N,N,N,N,N,N,N,FS091 - FSMTD0182,"<b>FS091 - FSMTD0182</b><br><b>Ativo</b><br><b>Finalidade: </b>Fiscalizao<hr><b> Data de Ativao: </b>14/03/2013<br><b>Local:</b> Av. Bernardo Manuel, 10935  - Indefinido<br>Meio de quadra<br>","<b>Tipo: </b>Metrolgico<br><b> Faixas monitoradas: </b> 3<br><b> Infraes: </b>Velocidade;",FS091|FSMTD0182
-38.554858,-3.809822,138,130207.1103,01385200,195,00492:b,AV BERNARDO MANUEL,MONDUBIM,01385200,130207.1103,Ativo,Fiscalizao,Av. Bernardo Manuel x R. Benjamim Brasil  [N-S],Indefinido,Cruzamento,20130702.000000,,Misto,4,N,S,S,S,S,N,S,N,N,N,N,01385200 - 130207.1103,<b>01385200 - 130207.1103</b><br><b>Ativo</b><br><b>Finalidade: </b>Fiscalizao<hr><b> Data de Ativao: </b>02/07/2013<br><b>Local:</b> Av. Bernardo Manuel x R. Benjamim Brasil  - Indefinido<br>Cruzamento<br>,"<b>Tipo: </b>Misto<br><b> Faixas monitoradas: </b> 4<br><b> Infraes: </b>Velocidade; Parada; Avano; Retorno;",01385200|130207.1103
-38.553509,-3.805737,74,FSMTD0177,FS002,15,00492:b,AV EXPEDICIONARIOS,PARQUE DOIS IRMOS,FS002,FSMTD0177,Ativo,Fiscalizao,"Av. Bernardo Manuel, 9970 - Oposto  [S-N]",Txtil Bezerra de Menezes,Travessia de pedestres,20130313.000000,,Metrolgico,3,N,S,S,N,N,N,N,N,N,N,N,FS002 - FSMTD0177,"<b>FS002 - FSMTD0177</b><br><b>Ativo</b><br><b>Finalidade: </b>Fiscalizao<hr><b> Data de Ativao: </b>13/03/2013<br><b>Local:</b> Av. Bernardo Manuel, 9970 - Oposto  - Txtil Bezerra de Menezes<br>Travessia de pedestres<br>","<b>Tipo: </b>Metrolgico<br><b> Faixas monitoradas: </b> 3<br><b> Infraes: </b>Velocidade;",FS002|FSMTD0177
-38.5397,-3.825667,178,130621.1209,01385191,95,00350:f,AV PRESIDENTE COSTA E SILVA,PREFEITO JOS VALTER,01385191,130621.1209,Ativo,Fiscalizao,Av. Pres. Costa e Silva x Av. Pres. Juscelino Kubischek  [O-L],CHESF,Travessia de pedestres,20130731.000000,,Misto,3,N,S,S,S,N,N,N,N,N,N,N,01385191 - 130621.1209,<b>01385191 - 130621.1209</b><br><b>Ativo</b><br><b>Finalidade: </b>Fiscalizao<hr><b> Data de Ativao: </b>31/07/2013<br><b>Local:</b> Av. Pres. Costa e Silva x Av. Pres. Juscelino Kubischek  - CHESF<br>Travessia de pedestres<br>,"<b>Tipo: </b>Misto<br><b> Faixas monitoradas: </b> 3<br><b> Infraes: </b>Velocidade; Avano;",01385191|130621.1209
